Sample in Buffer	Sample in Window	/dadata
454	454	255	
455	455	255	
456	456	255	
457	457	255	
458	458	255	
459	459	255	
460	460	254	
461	461	254	
462	462	254	
463	463	254	
464	464	254	
465	465	253	
466	466	253	
467	467	253	
468	468	253	
469	469	252	
470	470	252	
471	471	252	
472	472	251	
473	473	251	
474	474	250	
475	475	250	
476	476	250	
477	477	249	
478	478	249	
479	479	248	
480	480	248	
481	481	247	
482	482	246	
483	483	246	
484	484	245	
485	485	245	
486	486	244	
487	487	243	
488	488	243	
489	489	242	
490	490	241	
491	491	240	
492	492	239	
493	493	238	
494	494	238	
495	495	237	
496	496	236	
497	497	235	
498	498	234	
499	499	234	
500	500	233	
501	501	232	
502	502	231	
503	503	230	
504	504	229	
505	505	228	
506	506	227	
507	507	226	
508	508	225	
509	509	224	
510	510	223	
511	511	222	
512	512	221	
513	513	220	
514	514	219	
515	515	218	
516	516	217	
517	517	215	
518	518	214	
519	519	213	
520	520	212	
521	521	211	
522	522	210	
523	523	208	
524	524	207	
525	525	206	
526	526	205	
527	527	203	
528	528	202	
529	529	201	
530	530	200	
531	531	198	
532	532	196	
533	533	194	
534	534	193	
535	535	192	
536	536	190	
537	537	189	
538	538	188	
539	539	186	
540	540	185	
541	541	183	
542	542	182	
543	543	181	
544	544	179	
545	545	178	
546	546	176	
547	547	175	
548	548	173	
549	549	172	
550	550	170	
551	551	169	
552	552	167	
553	553	166	
554	554	165	
555	555	163	
556	556	162	
557	557	160	
558	558	158	
559	559	157	
560	560	155	
561	561	154	
562	562	152	
563	563	151	
564	564	149	
565	565	148	
566	566	146	
567	567	145	
568	568	143	
569	569	142	
570	570	140	
571	571	138	
572	572	137	
573	573	134	
574	574	132	
575	575	131	
576	576	129	
577	577	127	
578	578	126	
579	579	124	
580	580	123	
581	581	121	
582	582	120	
583	583	118	
584	584	117	
585	585	115	
586	586	113	
587	587	112	
588	588	110	
589	589	109	
590	590	107	
591	591	106	
592	592	104	
593	593	103	
594	594	101	
595	595	100	
596	596	98	
597	597	97	
598	598	95	
599	599	93	
600	600	92	
601	601	90	
602	602	89	
603	603	88	
604	604	86	
605	605	85	
606	606	83	
607	607	82	
608	608	80	
609	609	79	
610	610	77	
611	611	76	
612	612	74	
613	613	73	
614	614	72	
615	615	69	
616	616	67	
617	617	66	
618	618	65	
619	619	63	
620	620	62	
621	621	61	
622	622	59	
623	623	58	
624	624	57	
625	625	55	
626	626	54	
627	627	53	
628	628	52	
629	629	50	
630	630	49	
